*(-1,-1,-11):plasma_rifle
*(-1,-1,-19):assault_rifle
*(0,-1,-21):assault_rifle
*(-11,1,-11):assault_rifle
*(-9,-1,-36):assault_rifle
*(8,-1,-35):assault_rifle
*(15,2,-18):assault_rifle
*(0,-1,-31):assault_rifle
*(-7,-1,-27):assault_rifle
*(-9,-1,-2):assault_rifle
*(11,-1,-5):assault_rifle
(-3, -1, -4):BRICK
(-2, -1, -4):BRICK
(1, -1, -4):BRICK
(-4, -1, -3):BRICK
(2, -1, -4):BRICK
(3, -1, -3):BRICK
(3, -1, -2):BRICK
(3, -1, -1):BRICK
(3, -1, 0):BRICK
(3, -1, 1):BRICK
(3, -1, 2):BRICK
(2, -1, 3):BRICK
(1, -1, 3):BRICK
(-1, -1, 3):BRICK
(-4, -1, -2):BRICK
(-4, -1, -1):BRICK
(-4, -1, 0):BRICK
(-4, -1, 1):BRICK
(-2, -1, 3):BRICK
(-3, -1, 3):BRICK
(-4, -1, 2):BRICK
(0, -1, 3):BRICK
(2, 0, -4):BRICK
(1, 0, -4):BRICK
(2, 1, -4):BRICK
(-2, 0, -4):BRICK
(-3, 0, -4):BRICK
(-2, 1, -4):BRICK
(-3, 1, -4):BRICK
(-4, 0, -3):BRICK
(-4, 0, -2):BRICK
(-4, 0, -1):BRICK
(-4, 0, 0):BRICK
(-4, 0, 1):BRICK
(-4, 0, 2):BRICK
(-4, 1, 2):BRICK
(-4, 1, 0):BRICK
(-4, 1, 1):BRICK
(-4, 1, -1):BRICK
(-4, 1, -3):BRICK
(-4, 1, -2):BRICK
(-3, 0, 3):BRICK
(-2, 0, 3):BRICK
(-1, 0, 3):BRICK
(0, 0, 3):BRICK
(1, 0, 3):BRICK
(2, 0, 3):BRICK
(-3, 1, 3):BRICK
(-2, 1, 3):BRICK
(-1, 1, 3):BRICK
(0, 1, 3):BRICK
(1, 1, 3):BRICK
(2, 1, 3):BRICK
(3, 0, 2):BRICK
(3, 0, 1):BRICK
(3, 0, -1):BRICK
(3, 0, -3):BRICK
(3, 1, -3):BRICK
(3, 1, -2):BRICK
(3, 1, 2):BRICK
(3, 1, 1):BRICK
(3, 1, 0):BRICK
(3, -1, -8):BRICK
(2, -1, -8):BRICK
(1, -1, -8):BRICK
(0, -1, -8):BRICK
